Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
1,-21.0,29,0.0,0.0,1.0,0,1,Collision,1
2,-15.0,7,0.0,0.0,0.997,0,1,Collision,1
3,-14.0,22,0.0,0.0,0.994009,0,1,Collision,1
4,-15.0,11,24.305618286132812,0.0,0.991026973,0,1,Collision,1
5,-25.0,12,23.759605407714844,0.0,0.988053892081,0,1,Collision,1
6,-20.0,22,28.32158851623535,0.0,0.985089730404757,0,1,Collision,1
7,-11.0,9,18.537181854248047,0.0,0.9821344612135428,0,1,Collision,1
8,-19.0,16,14.769855499267578,-0.30184781551361084,0.9791880578299021,0,1,Collision,1
9,-25.0,32,6.78740119934082,-0.30184781551361084,0.9762504936564125,0,1,Collision,1
10,-14.0,18,14.381448745727539,-0.10757674276828766,0.9733217421754432,0,1,Collision,1
11,-20.0,20,15.59012508392334,-0.7483620047569275,0.9704017769489168,0,1,Collision,1
12,-10.0,11,8.879950523376465,-0.7483620047569275,0.9674905716180701,0,1,Collision,1
13,-10.0,13,9.107444763183594,-0.7483620047569275,0.9645880999032158,0,1,Collision,1
14,-16.0,21,11.087577819824219,1.0461913347244263,0.9616943356035061,0,1,Collision,1
15,-24.0,44,6.255887031555176,1.3660385608673096,0.9588092525966956,0,1,Collision,1
16,-20.0,17,10.963798522949219,1.3660385608673096,0.9559328248389055,0,1,Collision,1
17,-17.0,19,5.883025169372559,1.0898618698120117,0.9530650263643888,0,1,Collision,1
18,-12.0,9,6.262597560882568,0.7535542249679565,0.9502058312852957,0,1,Collision,1
19,-14.0,13,6.460945129394531,0.637298583984375,0.9473552137914398,0,1,Collision,1
20,-24.0,16,4.077712535858154,-6.07423734664917,0.9445131481500655,0,1,Collision,1
21,-15.0,8,8.405948638916016,-6.07423734664917,0.9416796087056153,0,1,Collision,1
22,-17.0,9,5.438704013824463,-6.07423734664917,0.9388545698794984,0,1,Collision,1
23,-19.0,12,4.406867027282715,2.4326577186584473,0.93603800616986,0,1,Collision,1
24,-23.0,16,6.91644811630249,1.0844659805297852,0.9332298921513504,0,1,Collision,1
25,-25.0,22,5.275188446044922,-6.3922624588012695,0.9304302024748964,0,1,Collision,1
26,-9.0,28,8.680816650390625,2.927487373352051,0.9276389118674717,0,1,Collision,1
27,-19.0,14,3.1582388877868652,2.927487373352051,0.9248559951318693,0,1,Collision,1
28,-26.0,30,6.273283004760742,-3.6561126708984375,0.9220814271464737,0,1,Collision,1
29,-8.0,14,7.656695365905762,2.0744354724884033,0.9193151828650342,0,1,Collision,1
30,-14.0,7,10.234436988830566,2.0744354724884033,0.9165572373164391,0,1,Collision,1
31,-20.0,13,2.4447498321533203,3.7640626430511475,0.9138075656044898,0,1,Collision,1
32,-18.0,12,7.524338245391846,1.99818754196167,0.9110661429076764,0,1,Collision,1
33,-11.0,17,3.0906805992126465,-3.7519302368164062,0.9083329444789534,0,1,Collision,1
34,-16.0,13,9.711647033691406,-3.7519302368164062,0.9056079456455165,0,1,Collision,1
35,-15.0,9,7.588452339172363,-3.7519302368164062,0.90289112180858,0,1,Collision,1
36,-14.0,27,5.637521743774414,-0.6167200207710266,0.9001824484431542,0,1,Collision,1
37,54.0,62,2.174135446548462,1.9436067342758179,0.8974819010978248,1,0,Success,1
38,-15.0,12,2.8795523643493652,1.6290297508239746,0.8947894553945313,0,1,Collision,1
39,-19.0,16,10.267658233642578,4.262784004211426,0.8921050870283477,0,1,Collision,1
40,-18.0,18,3.575895309448242,-6.406815528869629,0.8894287717672626,0,1,Collision,1
41,-18.0,16,6.100924491882324,-6.406815528869629,0.8867604854519608,0,1,Collision,1
42,-10.0,26,4.093234062194824,4.650354385375977,0.884100203995605,0,1,Collision,1
43,-15.0,9,14.019010543823242,5.150303840637207,0.8814479033836181,0,1,Collision,1
44,-17.0,9,5.043319225311279,-0.1594938039779663,0.8788035596734672,0,1,Collision,1
45,-22.0,12,41.757667541503906,-0.4123893976211548,0.8761671489944468,0,1,Collision,1
46,-24.0,12,6.973272323608398,3.873565196990967,0.8735386475474635,0,1,Collision,1
47,-19.0,18,6.0254998207092285,3.873565196990967,0.8709180316048211,0,1,Collision,1
48,-13.0,24,4.68476676940918,5.513389587402344,0.8683052775100066,0,1,Collision,1
49,-16.0,25,3.9229464530944824,3.7650554180145264,0.8657003616774767,0,1,Collision,1
50,-18.0,15,6.140798091888428,3.8988327980041504,0.8631032605924442,0,1,Collision,1
51,-21.0,8,7.825325012207031,5.568026542663574,0.860513950810667,0,1,Collision,1
52,-19.0,20,7.661142349243164,-1.0536198616027832,0.857932408958235,0,1,Collision,1
53,-19.0,30,6.621530055999756,2.2239186763763428,0.8553586117313603,0,1,Collision,1
54,-14.0,18,11.219252586364746,5.132678031921387,0.8527925358961662,0,1,Collision,1
55,-19.0,32,7.466372013092041,3.279963254928589,0.8502341582884777,0,1,Collision,1
56,-18.0,26,8.23960018157959,0.41376805305480957,0.8476834558136123,0,1,Collision,1
57,-18.0,52,8.239185333251953,2.6356656551361084,0.8451404054461714,0,1,Collision,1
58,55.0,38,40.42388153076172,6.147152900695801,0.8426049842298329,1,0,Success,1
59,-19.0,10,3.5370824337005615,6.147152900695801,0.8400771692771434,0,1,Collision,1
60,-12.0,14,7.554843425750732,1.5859441757202148,0.837556937769312,0,1,Collision,1
61,-18.0,12,5.599631309509277,7.408248424530029,0.835044266956004,0,1,Collision,1
62,-21.0,28,8.882698059082031,3.5818400382995605,0.8325391341551359,0,1,Collision,1
63,-16.0,6,5.053539276123047,3.5818400382995605,0.8300415167526705,0,1,Collision,1
64,-3.0,45,31.68212127685547,6.256386756896973,0.8275513922024125,0,1,Collision,1
65,-15.0,33,10.10966968536377,2.974874258041382,0.8250687380258053,0,1,Collision,1
66,-15.0,21,3.256298065185547,6.514817714691162,0.8225935318117279,0,1,Collision,1
67,-24.0,10,10.191272735595703,-6.057883262634277,0.8201257512162927,0,1,Collision,1
68,-25.0,14,7.015059471130371,5.890523433685303,0.8176653739626438,0,1,Collision,1
69,-16.0,7,5.089907646179199,5.890523433685303,0.8152123778407558,0,1,Collision,1
70,-19.0,12,3.901311159133911,7.45928955078125,0.8127667407072335,0,1,Collision,1
71,-16.0,42,6.62287712097168,4.388808250427246,0.8103284404851119,0,1,Collision,1
