Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
1,-25.0,27,0.0,0.0,1.0,0,1,Collision,8
2,-22.0,5,0.0,0.0,0.997,0,1,Collision,8
3,-14.0,8,0.0,0.0,0.994009,0,1,Collision,8
4,-29.0,24,24.655799865722656,0.18980370461940765,0.991026973,0,1,Collision,8
5,-16.0,19,28.108928680419922,-0.25118714570999146,0.988053892081,0,1,Collision,8
6,-22.0,11,21.114734649658203,-0.25118714570999146,0.985089730404757,0,1,Collision,8
7,-18.0,8,20.310163497924805,-0.25118714570999146,0.9821344612135428,0,1,Collision,8
8,-17.0,15,25.388526916503906,-0.25118714570999146,0.9791880578299021,0,1,Collision,8
9,-24.0,13,15.832036972045898,-0.25118714570999146,0.9762504936564125,0,1,Collision,8
10,-19.0,7,26.983545303344727,-0.25118714570999146,0.9733217421754432,0,1,Collision,8
11,-20.0,3,19.81418228149414,-0.25118714570999146,0.9704017769489168,0,1,Collision,8
12,-19.0,8,22.00571060180664,-0.25118714570999146,0.9674905716180701,0,1,Collision,8
13,-22.0,14,30.146800994873047,-0.25118714570999146,0.9645880999032158,0,1,Collision,8
14,-13.0,28,16.441476821899414,-0.25118714570999146,0.9616943356035061,0,1,Collision,8
15,-15.0,11,34.338661193847656,-0.25118714570999146,0.9588092525966956,0,1,Collision,8
16,-22.0,18,28.328048706054688,-2.105567455291748,0.9559328248389055,0,1,Collision,8
17,-20.0,3,18.761089324951172,-2.105567455291748,0.9530650263643888,0,1,Collision,8
18,-20.0,4,24.728614807128906,-2.105567455291748,0.9502058312852957,0,1,Collision,8
19,-28.0,22,32.469764709472656,-2.105567455291748,0.9473552137914398,0,1,Collision,8
20,-18.0,16,22.965309143066406,-2.105567455291748,0.9445131481500655,0,1,Collision,8
21,-14.0,5,19.51803207397461,0.1571739912033081,0.9416796087056153,0,1,Collision,8
22,-20.0,12,10.405668258666992,0.1571739912033081,0.9388545698794984,0,1,Collision,8
23,-21.0,56,10.343734741210938,-4.866572856903076,0.93603800616986,0,1,Collision,8
24,-18.0,16,11.854019165039062,-4.866572856903076,0.9332298921513504,0,1,Collision,8
25,-22.0,14,12.97606086730957,-4.866572856903076,0.9304302024748964,0,1,Collision,8
26,-20.0,8,4.527412414550781,-4.866572856903076,0.9276389118674717,0,1,Collision,8
27,-34.0,25,12.807897567749023,-2.778926372528076,0.9248559951318693,0,1,Collision,8
28,-16.0,20,11.682947158813477,-4.592803001403809,0.9220814271464737,0,1,Collision,8
29,-13.0,12,11.683151245117188,-4.592803001403809,0.9193151828650342,0,1,Collision,8
30,-24.0,7,8.329033851623535,-3.9366395473480225,0.9165572373164391,0,1,Collision,8
31,-21.0,10,13.266824722290039,-2.207972764968872,0.9138075656044898,0,1,Collision,8
32,-17.0,9,15.211099624633789,-2.207972764968872,0.9110661429076764,0,1,Collision,8
33,-18.0,10,8.883225440979004,-2.6795096397399902,0.9083329444789534,0,1,Collision,8
34,-17.0,6,12.031728744506836,-2.6795096397399902,0.9056079456455165,0,1,Collision,8
35,-21.0,12,15.16171932220459,-2.6795096397399902,0.90289112180858,0,1,Collision,8
36,-18.0,4,7.277862548828125,-2.6795096397399902,0.9001824484431542,0,1,Collision,8
37,-21.0,6,7.711879253387451,0.3575715720653534,0.8974819010978248,0,1,Collision,8
38,-20.0,3,9.876474380493164,0.3575715720653534,0.8947894553945313,0,1,Collision,8
39,-16.0,4,11.708085060119629,-0.2847808301448822,0.8921050870283477,0,1,Collision,8
40,-30.0,49,10.283956527709961,-1.048258662223816,0.8894287717672626,0,1,Collision,8
41,-21.0,18,7.376776695251465,-0.8171740770339966,0.8867604854519608,0,1,Collision,8
42,57.0,36,8.954626083374023,-1.1859902143478394,0.884100203995605,1,0,Success,8
43,-23.0,10,10.168207168579102,-1.1859902143478394,0.8814479033836181,0,1,Collision,8
44,-22.0,26,5.161903381347656,-1.1859902143478394,0.8788035596734672,0,1,Collision,8
45,-25.0,36,8.595858573913574,-3.9420793056488037,0.8761671489944468,0,1,Collision,8
46,-19.0,19,14.420356750488281,-3.9420793056488037,0.8735386475474635,0,1,Collision,8
47,-23.0,17,10.236555099487305,1.0785250663757324,0.8709180316048211,0,1,Collision,8
48,-16.0,4,6.343292713165283,0.3738345801830292,0.8683052775100066,0,1,Collision,8
49,-20.0,11,3.400282621383667,-9.323781967163086,0.8657003616774767,0,1,Collision,8
50,-15.0,9,4.702737331390381,1.2793104648590088,0.8631032605924442,0,1,Collision,8
51,-26.0,61,12.09343147277832,-0.005056560039520264,0.860513950810667,0,1,Collision,8
